Restaurant	Address
DinKrog Svenskis	Pohjoisesplanadi 2, 00130 Helsinki
Megobaro Töölö	Mannerheimintie 100, 00250 Helsinki
DIF Döner Punavuori	Yrjönkatu 4, 00120 Helsinki
Green Hippo Kallio	Fleminginkatu 10, 00530 Helsinki
Pho Nokis	Urho Kekkosen katu 1, 00100 Helsinki
Pancho Villa Malmi	Kirkonkyläntie 11, 00700 Helsinki
Lopez Tacos Kamppi	Urho Kekkosen katu 1, 00100 Helsinki
JUGANG Helsinki Wanhasatama	Kanavakatu 5, 00160 Helsinki
99 TopMeal	Mikonkatu 8, 00100 Helsinki
Ristorante Mirella	Lönnrotinkatu 41, 00180 Helsinki
Rannagor	Tenderinlenkki 8, 00520 Helsinki
Ravintola Lukla	Runeberginkatu 60, 00260 Helsinki
Annan Kartano	Tuomarinkyläntie 4-18, 00690 Helsinki
Ravintola Skörd	Fredrikinkatu 37, 00120 Helsinki
Boneless Flemari	Fleminginkatu 21b, 00500 Helsinki
Seksico® Tacos Viiskulma	Laivurinkatu 10, 00150 Helsinki
Levant Töölö	Runeberginkatu 59, 00260 Helsinki
Dylan Kottby	Mäkitorpantie 3 00620, 00620 Helsinki
Cafe Elo	Puustellintie 1, 00410 Helsinki
Pikku Ranska	Ulvilantie 19, 00350 Helsinki
La Galleria	Unioninkatu 30, 00100 Helsinki
Lopez Tacos Teurastamo	Työpajankatu 2, 00580 Helsinki
Open Lobby - Ruoholahti	Sulhasenkuja 3, 00180 Helsinki
Suski Bar & Kitchen	Ylä-Malmin tori 3, 00700 Helsinki
Wine & Tapas Helsinki	Annanaukio 1, 00100 Helsinki
Monda	Lapinlahdenkatu 16, 00180 Helsinki
Korttelikahvila Mariankatu 18	Mariankatu 18, 00170 Helsinki
Ravintola Halikarnas	Ruoholahdenkatu 18, 00180 Helsinki
Indie Bistro & Bar	Postikuja 2, 00100 Helsinki
Hungry Hub Keskusta	Töölönlahdenkatu 3, 00100 Helsinki
Mokka Cafe Helsinki	Fredrikinkatu 33 A, 00120 Helsinki
Mashiro Vallila	Mäkelänkatu 22, 00510 Helsinki
Majakkalaiva Relandersgrund	Meritullintori 1, 00170 Helsinki
The Last Drop Bar & Kitchen	Ludviginkatu 3-5, 00130 Helsinki
Stu 11	Sturenkatu 11, 00510 Helsinki
Flow Bar Kallio	Castréninkatu 7, 00530 Helsinki
16 Boom	Snellmaninkatu 16, 00170 Helsinki
Victoria's Cafe & Bakery	Välimerenkatu 14, 00220 Helsinki
Pikku Eden	Aleksis Kiven katu 40, 00510 Helsinki
Vranec Jätkäsaari	Länsisatamankatu 18, 00180 Helsinki
POCHA! Korean Street Dining	Kulmavuorenkatu 7, 00500 Helsinki
Old Durbar Annankatu	Annankatu 29, 00100 Helsinki
Mama's Empanadas & Wine	Vaasankatu 11, 00500 Helsinki
Golden Rocks Kallio	Porvoonkatu 1, 00510 Helsinki
Ravintola Base Camp Helsinki	Mannerheimintie 3, 00100 Helsinki
La Bottega 13	Tehtaankatu 13, 00140 Helsinki
DIF Döner Ruoholahti	Itämerenkatu 12, 00180 Helsinki
OPPA Korean BBQ Kamppi Autotalo	Fredrikinkatu 46, 00100 Helsinki
Bistro Qulma	Mariankatu 13b, 00170 Helsinki
Mojo Street Food	Aleksis Kiven katu 12, 00500 Helsinki
Ravintola 14 Peaks	Siltasaarenkatu 13, 00530 Helsinki
Seksico® City Bodega	Kaivokatu 8, 00101 Helsinki
Restaurant & Bar Santa Clara	Kuubankatu 3, 00220 Helsinki
Muteh Cafe-Bistro	Mechelininkatu 12-14, 00100 Helsinki
Kahvila Marocco	Museokatu 7, 00100 Helsinki
Harbour Tap & Taste	Capellanaukio 1, 00540 Helsinki
Seksico® Tacos Kallio	Kolmas linja 11, 00530 Helsinki
Aito Fresh	Kaivokatu 8, 00101 Helsinki
Shin Ramen & BRGRS Sompasaari	Aallonhalkoja 1, 00540 Helsinki
Saigon Bistro	Kaarlenkatu 13, 00530 Helsinki
Chicken Joint Lönkka	Lönnrotinkatu 11, 00120 Helsinki
Camp Mount	Tongankuja 1, 00220 Helsinki
Uyghur Noodle House Kamppi	Malminrinne 3, 00100 Helsinki
Moko Market Punavuori / Kabinettivaraukset	Perämiehenkatu 10, 00150 Helsinki
Ravintola Scandic Meilahti	Tukholmankatu 2, 00250 Helsinki
GTC Café	Ruoholahdenkatu 8, 00180 Helsinki
Puotilan Kartano	Puotilantie 7, 00910 Helsinki
HOB Helsinki	Capellan Puistotie 2, 00540 Helsinki
Graniittiklubi	Säästöpankinranta 6, 00530 Helsinki
Momentine Wine Bar	Sofiankatu 3, 00170 Helsinki
Annapurna	Fredrikinkatu 23, 00120 Helsinki
IPI Kulmakuppila	Porthaninkatu 13, 00530 Helsinki
Amex Exclusive Lunch: Pastis	Pieni Roobertinkatu 2, 00130 Helsinki
Chao Phraya Helsinki - Thai Restaurant	Lönnrotinkatu 34, 00180 Helsinki
Restaurant Vazi	Konttisatamakatu 2, 00540 Helsinki
Hei Noodle	Aleksanterinkatu 9, 00100 Helsinki
Mashiro Töölö	Mechelininkatu 18, 00100 Helsinki
Bibimbap Töölö	Runeberginkatu 34, 00260 Helsinki
Tran Tinh	Siltasaarenkatu 3-5, 00530 Helsinki
Vietologie	Runeberginkatu 59, 00260 Helsinki
Mount Kailash	Tyynenmerenkatu 5, 00220 Helsinki
Omo Omo Café	Runeberginkatu 54a, 00260 Helsinki
Uyghur Noodle House Hakaniemi	Siltasaarenkatu 13, 00530 Helsinki
Stadin Poseidon	Kruunuvuorenkatu 1, 00160 Helsinki
Pastelaria Brasil	Opastinsilta 2, 00520 Helsinki
Kubo Phở	Hämeentie 7 b, 00530 Helsinki
Caruzello By Dylan	Tivolikuja  1, 00510 Helsinki
Ravintola Siddhartha	Mannerheimintie 23, 00250 Helsinki
Noodle Story Ruoholahti	Itämerenkatu 16, 00180 Helsinki
BAMBU Asian Kitchen & Bar	Helsinginkatu 4B, 00500 Helsinki
Ravintola T49	Töölönkatu 49, 00250 Helsinki
Spasso Pizzeria	Tivolikuja  1, 00560 Helsinki
Skiffer Postipuisto	Rullakkokatu 3, 00240 Helsinki
Ravintola Bambu Sushi	Aleksis Kiven katu 58, 00510 Helsinki
Tian Tian Dumplings	Vaasankatu 6, 00500 Helsinki
Ravintola Sture 16	Sturenkatu 16, 00510 Helsinki
Kalaliike & Bistro S. Wallin	Firdonkatu 1, 00520 Helsinki
Chill & Grill	Porvoonkatu 23, 00510 Helsinki
Chuan Chim Thai Kitchen	Aleksis Kiven katu 25, 00510 Helsinki
PURÉ Helsinki Ravintola	Vilhonvuorenkatu 7-9, 00500 Helsinki
Origin Ravintola	Aallonhalkoja 3, 00540 Helsinki
Supear Sushi Sandwich	Kulmavuorenkatu 4, 00500 Helsinki
Presto Pizza Helsinki	Höyrypolku 4, 00520 Helsinki
Ravintola Persilja	Tallbergin puistotie 1, 00200 Helsinki
Ravintola Bali	Mäkelänkatu 22, 00510 Helsinki
Ravintola Veturitallit	Veturitallinkuja 34, 00520 Helsinki
Boneless REDI	Hermannin rantatie 5, 00580 Helsinki
Larenka Ravintola	Pohjoiskaari 9a, 00200 Helsinki
Malai Indian Cuisine	Hermannin rantatie 5a, 00580 Helsinki
